"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 19 11:16:27 GMT 2025","Mon May 19 11:16:32 GMT 2025","4635","","SeleniumTests","","SeleniumTests","checkTitle","checkTitle()",""
"broken","Mon May 19 11:16:32 GMT 2025","Mon May 19 11:16:32 GMT 2025","210","","SeleniumTests","","SeleniumTests","checkChapter3Link","checkChapter3Link()",""
"passed","Mon May 19 11:16:27 GMT 2025","Mon May 19 11:16:27 GMT 2025","3","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testFrigileAndDistanceElevenKm","testFrigileAndDistanceElevenKm()",""
"passed","Mon May 19 11:16:54 GMT 2025","Mon May 19 11:16:55 GMT 2025","812","","ui.SixHomeWork","","ui.SixHomeWork","dataPickerTest","dataPickerTest()",""
"passed","Mon May 19 11:16:37 GMT 2025","Mon May 19 11:16:43 GMT 2025","6189","","ui.SevenHomeWork","","ui.SevenHomeWork","slowCalculator","Тест калькулятора",""
"broken","Mon May 19 11:16:58 GMT 2025","Mon May 19 11:16:58 GMT 2025","742","","ui.SixHomeWork","","ui.SixHomeWork","fileUploadTest","fileUploadTest()",""
"passed","Mon May 19 11:16:43 GMT 2025","Mon May 19 11:16:52 GMT 2025","8954","","ui.SevenHomeWork","","ui.SevenHomeWork","loadingImages","Загрузка картинок",""
"passed","Mon May 19 11:16:55 GMT 2025","Mon May 19 11:16:56 GMT 2025","744","","ui.SixHomeWork","","ui.SixHomeWork","disabledField","disabledField()",""
"broken","Mon May 19 11:16:34 GMT 2025","Mon May 19 11:16:35 GMT 2025","719","","ui.SevenHomeWork","","ui.SevenHomeWork","testWebStorage","Web storage test",""
"passed","Mon May 19 11:16:32 GMT 2025","Mon May 19 11:16:34 GMT 2025","1758","","ui.SevenHomeWork","","ui.SevenHomeWork","shadowDom","shadowDom",""
"passed","Mon May 19 11:16:27 GMT 2025","Mon May 19 11:16:27 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testNineKmBig","testNineKmBig()",""
"passed","Mon May 19 11:16:36 GMT 2025","Mon May 19 11:16:37 GMT 2025","992","","ui.SevenHomeWork","","ui.SevenHomeWork","alertTest","Alert test",""
"passed","Mon May 19 11:16:58 GMT 2025","Mon May 19 11:16:59 GMT 2025","793","","ui.SixHomeWork","","ui.SixHomeWork","inputField","inputField()",""
"passed","Mon May 19 11:16:57 GMT 2025","Mon May 19 11:16:58 GMT 2025","803","","ui.SixHomeWork","","ui.SixHomeWork","listSelectedTest","listSelectedTest()",""
"passed","Mon May 19 11:16:54 GMT 2025","Mon May 19 11:16:54 GMT 2025","807","","ui.SixHomeWork","","ui.SixHomeWork","readOnlyField","readOnlyField()",""
"passed","Mon May 19 11:16:27 GMT 2025","Mon May 19 11:16:27 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadVeryHigh","testWorkLoadVeryHigh()",""
"passed","Mon May 19 11:16:27 GMT 2025","Mon May 19 11:16:27 GMT 2025","3","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadHigh","testWorkLoadHigh()",""
"passed","Mon May 19 11:16:35 GMT 2025","Mon May 19 11:16:36 GMT 2025","906","","ui.SevenHomeWork","","ui.SevenHomeWork","cookieTest","Cookies test",""
"passed","Mon May 19 11:16:27 GMT 2025","Mon May 19 11:16:27 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testMore30km","testMore30km()",""
"passed","Mon May 19 11:16:27 GMT 2025","Mon May 19 11:16:27 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadIncreased","testWorkLoadIncreased()",""
"passed","Mon May 19 11:16:56 GMT 2025","Mon May 19 11:16:57 GMT 2025","882","","ui.SixHomeWork","","ui.SixHomeWork","listSelectedAnotherOptionTest","listSelectedAnotherOptionTest()",""
"passed","Mon May 19 11:16:52 GMT 2025","Mon May 19 11:16:53 GMT 2025","928","","ui.SevenHomeWork","","ui.SevenHomeWork","iframeTest","Iframe test",""
"broken","Mon May 19 11:16:32 GMT 2025","Mon May 19 11:16:32 GMT 2025","201","","SeleniumTests","","SeleniumTests","checkURL","checkURL()",""
"passed","Mon May 19 11:16:27 GMT 2025","Mon May 19 11:16:27 GMT 2025","41","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testCheapest","testCheapest()",""
"passed","Mon May 19 11:16:27 GMT 2025","Mon May 19 11:16:27 GMT 2025","3","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testFrafaleAndLongDistance","testFrafaleAndLongDistance()",""
"passed","Mon May 19 11:16:53 GMT 2025","Mon May 19 11:16:54 GMT 2025","820","","ui.SixHomeWork","","ui.SixHomeWork","checkboxTest","checkboxTest()",""
"passed","Mon May 19 11:16:27 GMT 2025","Mon May 19 11:16:27 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testSmoke","testSmoke()",""
