"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 20 07:58:14 GMT 2025","Tue May 20 07:58:15 GMT 2025","710","","ui.SixHomeWork","","ui.SixHomeWork","disabledField","disabledField()",""
"broken","Tue May 20 07:57:51 GMT 2025","Tue May 20 07:57:51 GMT 2025","208","","SeleniumTests","","SeleniumTests","checkChapter3Link","checkChapter3Link()",""
"passed","Tue May 20 07:58:16 GMT 2025","Tue May 20 07:58:16 GMT 2025","796","","ui.SixHomeWork","","ui.SixHomeWork","listSelectedTest","listSelectedTest()",""
"passed","Tue May 20 07:57:45 GMT 2025","Tue May 20 07:57:45 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testSmoke","testSmoke()",""
"passed","Tue May 20 07:57:54 GMT 2025","Tue May 20 07:57:55 GMT 2025","888","","ui.SevenHomeWork","","ui.SevenHomeWork","cookieTest","Cookies test",""
"passed","Tue May 20 07:57:55 GMT 2025","Tue May 20 07:57:56 GMT 2025","929","","ui.SevenHomeWork","","ui.SevenHomeWork","alertTest","Alert test",""
"passed","Tue May 20 07:58:15 GMT 2025","Tue May 20 07:58:16 GMT 2025","953","","ui.SixHomeWork","","ui.SixHomeWork","listSelectedAnotherOptionTest","listSelectedAnotherOptionTest()",""
"passed","Tue May 20 07:57:45 GMT 2025","Tue May 20 07:57:45 GMT 2025","2","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadHigh","testWorkLoadHigh()",""
"broken","Tue May 20 07:57:45 GMT 2025","Tue May 20 07:57:51 GMT 2025","5493","","SeleniumTests","","SeleniumTests","checkTitle","checkTitle()",""
"passed","Tue May 20 07:57:51 GMT 2025","Tue May 20 07:57:53 GMT 2025","1568","","ui.SevenHomeWork","","ui.SevenHomeWork","shadowDom","shadowDom",""
"passed","Tue May 20 07:58:13 GMT 2025","Tue May 20 07:58:14 GMT 2025","814","","ui.SixHomeWork","","ui.SixHomeWork","dataPickerTest","dataPickerTest()",""
"passed","Tue May 20 07:57:45 GMT 2025","Tue May 20 07:57:45 GMT 2025","46","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testCheapest","testCheapest()",""
"passed","Tue May 20 07:57:45 GMT 2025","Tue May 20 07:57:45 GMT 2025","4","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadVeryHigh","testWorkLoadVeryHigh()",""
"passed","Tue May 20 07:58:11 GMT 2025","Tue May 20 07:58:11 GMT 2025","899","","ui.SevenHomeWork","","ui.SevenHomeWork","iframeTest","Iframe test",""
"passed","Tue May 20 07:58:02 GMT 2025","Tue May 20 07:58:11 GMT 2025","8912","","ui.SevenHomeWork","","ui.SevenHomeWork","loadingImages","Загрузка картинок",""
"passed","Tue May 20 07:58:12 GMT 2025","Tue May 20 07:58:13 GMT 2025","766","","ui.SixHomeWork","","ui.SixHomeWork","readOnlyField","readOnlyField()",""
"passed","Tue May 20 07:57:45 GMT 2025","Tue May 20 07:57:45 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadIncreased","testWorkLoadIncreased()",""
"passed","Tue May 20 07:57:45 GMT 2025","Tue May 20 07:57:45 GMT 2025","3","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testFrafaleAndLongDistance","testFrafaleAndLongDistance()",""
"passed","Tue May 20 07:57:45 GMT 2025","Tue May 20 07:57:45 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testNineKmBig","testNineKmBig()",""
"broken","Tue May 20 07:57:53 GMT 2025","Tue May 20 07:57:54 GMT 2025","682","","ui.SevenHomeWork","","ui.SevenHomeWork","testWebStorage","Web storage test",""
"broken","Tue May 20 07:57:51 GMT 2025","Tue May 20 07:57:51 GMT 2025","201","","SeleniumTests","","SeleniumTests","checkURL","checkURL()",""
"passed","Tue May 20 07:57:45 GMT 2025","Tue May 20 07:57:45 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testMore30km","testMore30km()",""
"passed","Tue May 20 07:57:56 GMT 2025","Tue May 20 07:58:02 GMT 2025","6084","","ui.SevenHomeWork","","ui.SevenHomeWork","slowCalculator","Тест калькулятора",""
"passed","Tue May 20 07:58:11 GMT 2025","Tue May 20 07:58:12 GMT 2025","854","","ui.SixHomeWork","","ui.SixHomeWork","checkboxTest","checkboxTest()",""
"passed","Tue May 20 07:58:17 GMT 2025","Tue May 20 07:58:18 GMT 2025","780","","ui.SixHomeWork","","ui.SixHomeWork","inputField","inputField()",""
"broken","Tue May 20 07:58:16 GMT 2025","Tue May 20 07:58:17 GMT 2025","754","","ui.SixHomeWork","","ui.SixHomeWork","fileUploadTest","fileUploadTest()",""
"passed","Tue May 20 07:57:45 GMT 2025","Tue May 20 07:57:45 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testFrigileAndDistanceElevenKm","testFrigileAndDistanceElevenKm()",""
