"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 19 11:03:06 GMT 2025","Mon May 19 11:03:06 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadVeryHigh","testWorkLoadVeryHigh()",""
"broken","Mon May 19 11:03:10 GMT 2025","Mon May 19 11:03:10 GMT 2025","236","","SeleniumTests","","SeleniumTests","checkChapter3Link","checkChapter3Link()",""
"passed","Mon May 19 11:03:06 GMT 2025","Mon May 19 11:03:06 GMT 2025","3","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testFrafaleAndLongDistance","testFrafaleAndLongDistance()",""
"passed","Mon May 19 11:03:14 GMT 2025","Mon May 19 11:03:15 GMT 2025","878","","ui.SixHomeWork","","ui.SixHomeWork","readOnlyField","readOnlyField()",""
"passed","Mon May 19 11:03:18 GMT 2025","Mon May 19 11:03:18 GMT 2025","887","","ui.SixHomeWork","","ui.SixHomeWork","listSelectedTest","listSelectedTest()",""
"passed","Mon May 19 11:03:17 GMT 2025","Mon May 19 11:03:18 GMT 2025","965","","ui.SixHomeWork","","ui.SixHomeWork","listSelectedAnotherOptionTest","listSelectedAnotherOptionTest()",""
"broken","Mon May 19 11:03:10 GMT 2025","Mon May 19 11:03:10 GMT 2025","223","","SeleniumTests","","SeleniumTests","checkURL","checkURL()",""
"broken","Mon May 19 11:03:12 GMT 2025","Mon May 19 11:03:12 GMT 2025","232","","ui.SevenHomeWork","","ui.SevenHomeWork","loadingImages","Загрузка картинок",""
"passed","Mon May 19 11:03:15 GMT 2025","Mon May 19 11:03:16 GMT 2025","951","","ui.SixHomeWork","","ui.SixHomeWork","dataPickerTest","dataPickerTest()",""
"passed","Mon May 19 11:03:06 GMT 2025","Mon May 19 11:03:06 GMT 2025","2","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadHigh","testWorkLoadHigh()",""
"broken","Mon May 19 11:03:11 GMT 2025","Mon May 19 11:03:11 GMT 2025","226","","ui.SevenHomeWork","","ui.SevenHomeWork","alertTest","Alert test",""
"passed","Mon May 19 11:03:19 GMT 2025","Mon May 19 11:03:20 GMT 2025","874","","ui.SixHomeWork","","ui.SixHomeWork","inputField","inputField()",""
"broken","Mon May 19 11:03:11 GMT 2025","Mon May 19 11:03:11 GMT 2025","224","","ui.SevenHomeWork","","ui.SevenHomeWork","shadowDom","shadowDom",""
"passed","Mon May 19 11:03:06 GMT 2025","Mon May 19 11:03:06 GMT 2025","41","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testCheapest","testCheapest()",""
"passed","Mon May 19 11:03:16 GMT 2025","Mon May 19 11:03:17 GMT 2025","790","","ui.SixHomeWork","","ui.SixHomeWork","disabledField","disabledField()",""
"passed","Mon May 19 11:03:06 GMT 2025","Mon May 19 11:03:06 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testNineKmBig","testNineKmBig()",""
"broken","Mon May 19 11:03:12 GMT 2025","Mon May 19 11:03:12 GMT 2025","221","","ui.SevenHomeWork","","ui.SevenHomeWork","iframeTest","Iframe test",""
"passed","Mon May 19 11:03:12 GMT 2025","Mon May 19 11:03:14 GMT 2025","1876","","ui.SixHomeWork","","ui.SixHomeWork","checkboxTest","checkboxTest()",""
"broken","Mon May 19 11:03:11 GMT 2025","Mon May 19 11:03:12 GMT 2025","222","","ui.SevenHomeWork","","ui.SevenHomeWork","slowCalculator","Тест калькулятора",""
"passed","Mon May 19 11:03:06 GMT 2025","Mon May 19 11:03:06 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testMore30km","testMore30km()",""
"passed","Mon May 19 11:03:06 GMT 2025","Mon May 19 11:03:06 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testFrigileAndDistanceElevenKm","testFrigileAndDistanceElevenKm()",""
"broken","Mon May 19 11:03:11 GMT 2025","Mon May 19 11:03:11 GMT 2025","229","","ui.SevenHomeWork","","ui.SevenHomeWork","cookieTest","Cookies test",""
"broken","Mon May 19 11:03:18 GMT 2025","Mon May 19 11:03:19 GMT 2025","838","","ui.SixHomeWork","","ui.SixHomeWork","fileUploadTest","fileUploadTest()",""
"passed","Mon May 19 11:03:06 GMT 2025","Mon May 19 11:03:06 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testSmoke","testSmoke()",""
"passed","Mon May 19 11:03:06 GMT 2025","Mon May 19 11:03:06 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadIncreased","testWorkLoadIncreased()",""
"broken","Mon May 19 11:03:11 GMT 2025","Mon May 19 11:03:11 GMT 2025","225","","ui.SevenHomeWork","","ui.SevenHomeWork","testWebStorage","Web storage test",""
"broken","Mon May 19 11:03:06 GMT 2025","Mon May 19 11:03:10 GMT 2025","3769","","SeleniumTests","","SeleniumTests","checkTitle","checkTitle()",""
