"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 24 08:23:54 GMT 2025","Sat May 24 08:23:55 GMT 2025","235","","SeleniumTests","","SeleniumTests","checkChapter3Link","checkChapter3Link()",""
"passed","Sat May 24 08:24:18 GMT 2025","Sat May 24 08:24:18 GMT 2025","708","","ui.SixHomeWork","","ui.SixHomeWork","disabledField","disabledField()",""
"passed","Sat May 24 08:23:57 GMT 2025","Sat May 24 08:23:58 GMT 2025","816","","ui.SevenHomeWork","","ui.SevenHomeWork","cookieTest","Cookies test",""
"passed","Sat May 24 08:23:55 GMT 2025","Sat May 24 08:23:57 GMT 2025","1723","","ui.SevenHomeWork","","ui.SevenHomeWork","shadowDom","shadowDom",""
"passed","Sat May 24 08:23:45 GMT 2025","Sat May 24 08:23:45 GMT 2025","2","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testMore30km","testMore30km()",""
"passed","Sat May 24 08:24:15 GMT 2025","Sat May 24 08:24:16 GMT 2025","830","","ui.SixHomeWork","","ui.SixHomeWork","checkboxTest","checkboxTest()",""
"passed","Sat May 24 08:23:58 GMT 2025","Sat May 24 08:23:59 GMT 2025","957","","ui.SevenHomeWork","","ui.SevenHomeWork","alertTest","Alert test",""
"broken","Sat May 24 08:23:57 GMT 2025","Sat May 24 08:23:57 GMT 2025","657","","ui.SevenHomeWork","","ui.SevenHomeWork","testWebStorage","Web storage test",""
"broken","Sat May 24 08:24:20 GMT 2025","Sat May 24 08:24:21 GMT 2025","731","","ui.SixHomeWork","","ui.SixHomeWork","fileUploadTest","fileUploadTest()",""
"broken","Sat May 24 08:23:55 GMT 2025","Sat May 24 08:23:55 GMT 2025","279","","SeleniumTests","","SeleniumTests","checkURL","checkURL()",""
"passed","Sat May 24 08:23:59 GMT 2025","Sat May 24 08:24:05 GMT 2025","6113","","ui.SevenHomeWork","","ui.SevenHomeWork","slowCalculator","Тест калькулятора",""
"passed","Sat May 24 08:23:45 GMT 2025","Sat May 24 08:23:45 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testNineKmBig","testNineKmBig()",""
"passed","Sat May 24 08:23:45 GMT 2025","Sat May 24 08:23:45 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadVeryHigh","testWorkLoadVeryHigh()",""
"passed","Sat May 24 08:24:05 GMT 2025","Sat May 24 08:24:14 GMT 2025","8910","","ui.SevenHomeWork","","ui.SevenHomeWork","loadingImages","Загрузка картинок",""
"passed","Sat May 24 08:23:45 GMT 2025","Sat May 24 08:23:45 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testSmoke","testSmoke()",""
"passed","Sat May 24 08:24:14 GMT 2025","Sat May 24 08:24:15 GMT 2025","954","","ui.SevenHomeWork","","ui.SevenHomeWork","iframeTest","Iframe test",""
"passed","Sat May 24 08:23:45 GMT 2025","Sat May 24 08:23:45 GMT 2025","2","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testFrafaleAndLongDistance","testFrafaleAndLongDistance()",""
"passed","Sat May 24 08:23:45 GMT 2025","Sat May 24 08:23:45 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testFrigileAndDistanceElevenKm","testFrigileAndDistanceElevenKm()",""
"passed","Sat May 24 08:23:45 GMT 2025","Sat May 24 08:23:45 GMT 2025","2","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadHigh","testWorkLoadHigh()",""
"passed","Sat May 24 08:24:18 GMT 2025","Sat May 24 08:24:19 GMT 2025","864","","ui.SixHomeWork","","ui.SixHomeWork","listSelectedAnotherOptionTest","listSelectedAnotherOptionTest()",""
"broken","Sat May 24 08:23:45 GMT 2025","Sat May 24 08:23:54 GMT 2025","9165","","SeleniumTests","","SeleniumTests","checkTitle","checkTitle()",""
"passed","Sat May 24 08:24:17 GMT 2025","Sat May 24 08:24:18 GMT 2025","818","","ui.SixHomeWork","","ui.SixHomeWork","dataPickerTest","dataPickerTest()",""
"passed","Sat May 24 08:24:16 GMT 2025","Sat May 24 08:24:17 GMT 2025","782","","ui.SixHomeWork","","ui.SixHomeWork","readOnlyField","readOnlyField()",""
"passed","Sat May 24 08:23:45 GMT 2025","Sat May 24 08:23:45 GMT 2025","46","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testCheapest","testCheapest()",""
"passed","Sat May 24 08:23:45 GMT 2025","Sat May 24 08:23:45 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadIncreased","testWorkLoadIncreased()",""
"passed","Sat May 24 08:24:19 GMT 2025","Sat May 24 08:24:20 GMT 2025","793","","ui.SixHomeWork","","ui.SixHomeWork","listSelectedTest","listSelectedTest()",""
"passed","Sat May 24 08:24:21 GMT 2025","Sat May 24 08:24:22 GMT 2025","765","","ui.SixHomeWork","","ui.SixHomeWork","inputField","inputField()",""
