"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 20 08:28:02 GMT 2025","Tue May 20 08:28:02 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadHigh","testWorkLoadHigh()",""
"passed","Tue May 20 08:28:15 GMT 2025","Tue May 20 08:28:16 GMT 2025","842","","ui.SevenHomeWork","","ui.SevenHomeWork","cookieTest","Cookies test",""
"passed","Tue May 20 08:28:34 GMT 2025","Tue May 20 08:28:35 GMT 2025","731","","ui.SixHomeWork","","ui.SixHomeWork","readOnlyField","readOnlyField()",""
"passed","Tue May 20 08:28:16 GMT 2025","Tue May 20 08:28:17 GMT 2025","940","","ui.SevenHomeWork","","ui.SevenHomeWork","alertTest","Alert test",""
"passed","Tue May 20 08:28:02 GMT 2025","Tue May 20 08:28:02 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testNineKmBig","testNineKmBig()",""
"passed","Tue May 20 08:28:35 GMT 2025","Tue May 20 08:28:36 GMT 2025","673","","ui.SixHomeWork","","ui.SixHomeWork","disabledField","disabledField()",""
"passed","Tue May 20 08:28:12 GMT 2025","Tue May 20 08:28:14 GMT 2025","1824","","ui.SevenHomeWork","","ui.SevenHomeWork","shadowDom","shadowDom",""
"passed","Tue May 20 08:28:02 GMT 2025","Tue May 20 08:28:02 GMT 2025","2","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testMore30km","testMore30km()",""
"passed","Tue May 20 08:28:35 GMT 2025","Tue May 20 08:28:35 GMT 2025","763","","ui.SixHomeWork","","ui.SixHomeWork","dataPickerTest","dataPickerTest()",""
"broken","Tue May 20 08:28:02 GMT 2025","Tue May 20 08:28:12 GMT 2025","10010","","SeleniumTests","","SeleniumTests","checkTitle","checkTitle()",""
"passed","Tue May 20 08:28:02 GMT 2025","Tue May 20 08:28:02 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testSmoke","testSmoke()",""
"passed","Tue May 20 08:28:32 GMT 2025","Tue May 20 08:28:33 GMT 2025","912","","ui.SevenHomeWork","","ui.SevenHomeWork","iframeTest","Iframe test",""
"broken","Tue May 20 08:28:12 GMT 2025","Tue May 20 08:28:12 GMT 2025","239","","SeleniumTests","","SeleniumTests","checkChapter3Link","checkChapter3Link()",""
"passed","Tue May 20 08:28:17 GMT 2025","Tue May 20 08:28:23 GMT 2025","6156","","ui.SevenHomeWork","","ui.SevenHomeWork","slowCalculator","Тест калькулятора",""
"passed","Tue May 20 08:28:01 GMT 2025","Tue May 20 08:28:01 GMT 2025","36","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testCheapest","testCheapest()",""
"passed","Tue May 20 08:28:23 GMT 2025","Tue May 20 08:28:32 GMT 2025","9025","","ui.SevenHomeWork","","ui.SevenHomeWork","loadingImages","Загрузка картинок",""
"passed","Tue May 20 08:28:37 GMT 2025","Tue May 20 08:28:38 GMT 2025","754","","ui.SixHomeWork","","ui.SixHomeWork","listSelectedTest","listSelectedTest()",""
"passed","Tue May 20 08:28:33 GMT 2025","Tue May 20 08:28:34 GMT 2025","820","","ui.SixHomeWork","","ui.SixHomeWork","checkboxTest","checkboxTest()",""
"passed","Tue May 20 08:28:02 GMT 2025","Tue May 20 08:28:02 GMT 2025","3","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testFrafaleAndLongDistance","testFrafaleAndLongDistance()",""
"passed","Tue May 20 08:28:36 GMT 2025","Tue May 20 08:28:37 GMT 2025","805","","ui.SixHomeWork","","ui.SixHomeWork","listSelectedAnotherOptionTest","listSelectedAnotherOptionTest()",""
"broken","Tue May 20 08:28:14 GMT 2025","Tue May 20 08:28:15 GMT 2025","1129","","ui.SevenHomeWork","","ui.SevenHomeWork","testWebStorage","Web storage test",""
"passed","Tue May 20 08:28:38 GMT 2025","Tue May 20 08:28:39 GMT 2025","761","","ui.SixHomeWork","","ui.SixHomeWork","inputField","inputField()",""
"broken","Tue May 20 08:28:38 GMT 2025","Tue May 20 08:28:38 GMT 2025","710","","ui.SixHomeWork","","ui.SixHomeWork","fileUploadTest","fileUploadTest()",""
"passed","Tue May 20 08:28:02 GMT 2025","Tue May 20 08:28:02 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testFrigileAndDistanceElevenKm","testFrigileAndDistanceElevenKm()",""
"passed","Tue May 20 08:28:02 GMT 2025","Tue May 20 08:28:02 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadVeryHigh","testWorkLoadVeryHigh()",""
"passed","Tue May 20 08:28:02 GMT 2025","Tue May 20 08:28:02 GMT 2025","2","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadIncreased","testWorkLoadIncreased()",""
"broken","Tue May 20 08:28:12 GMT 2025","Tue May 20 08:28:12 GMT 2025","227","","SeleniumTests","","SeleniumTests","checkURL","checkURL()",""
